State,StateAbbr,Governor,Party,Population,PopYear
Alabama ,AL,Kay Ivey ,Republican ,4908621,2019
 Alaska ,AK,Mike Dunleavy ,Republican ,734002,2019
 Arizona ,AZ,Doug Ducey ,Republican ,7378494,2019
 Arkansas ,AR,Asa Hutchinson ,Republican ,3038999,2019
 California ,CA,Gavin Newsom ,Democratic ,39937489,2019
 Colorado ,CO,Jared Polis ,Democratic ,5845526,2019
 Connecticut ,CT,Ned Lamont ,Democratic ,3563077,2019
 Delaware ,DE,John Carney ,Democratic ,982895,2019
 Florida ,FL,Ron DeSantis ,Republican ,21992985,2019
 Georgia ,GA,Brian Kemp ,Republican ,10736059,2019
 Hawaii ,HI,David Ige ,Democratic ,1412687,2019
 Idaho ,ID,Brad Little ,Republican ,1826156,2019
 Illinois ,IL,J. B. Pritzker ,Democratic ,12659682,2019
 Indiana ,IN,Eric Holcomb ,Republican ,6745354,2019
 Iowa ,IA,Kim Reynolds ,Republican ,3179849,2019
 Kansas ,KS,Laura Kelly ,Democratic ,2910357,2019
 Kentucky ,KY,Andy Beshear ,Democratic ,4499692,2019
 Louisiana ,LA,John Bel Edwards ,Democratic ,4645184,2019
 Maine ,ME,Janet Mills ,Democratic ,1345790,2019
 Maryland ,MD,Larry Hogan ,Republican ,6083116,2019
 Massachusetts ,MA,Charlie Baker ,Republican ,6976597,2019
 Michigan ,MI,Gretchen Whitmer ,Democratic ,10045029,2019
 Minnesota ,MN,Tim Walz ,Democratic,5700671,2019
 Mississippi ,MS,Tate Reeves ,Republican ,2989260,2019
 Missouri ,MO,Mike Parson ,Republican ,6169270,2019
 Montana ,MT,Steve Bullock ,Democratic ,1086759,2019
 Nebraska ,NE,Pete Ricketts ,Republican ,1952570,2019
 Nevada ,NV,Steve Sisolak ,Democratic ,3139658,2019
 New Hampshire ,NH,Chris Sununu ,Republican ,1371246,2019
 New Jersey ,NJ,Phil Murphy ,Democratic ,8936574,2019
 New Mexico ,NM,Michelle Lujan Grisham ,Democratic ,2096640,2019
 New York ,NY,Andrew Cuomo ,Democratic ,19440469,2019
 North Carolina ,NC,Roy Cooper ,Democratic ,10611862,2019
 North Dakota ,ND,Doug Burgum ,Republican ,761723,2019
 Ohio ,OH,Mike DeWine ,Republican ,11747694,2019
 Oklahoma ,OK,Kevin Stitt ,Republican ,3954821,2019
 Oregon ,OR,Kate Brown ,Democratic ,4301089,2019
 Pennsylvania ,PA,Tom Wolf ,Democratic ,12820878,2019
 Rhode Island ,RI,Gina Raimondo ,Democratic ,1056161,2019
 South Carolina ,SC,Henry McMaster ,Republican ,5210095,2019
 South Dakota ,SD,Kristi Noem ,Republican ,903027,2019
 Tennessee ,TN,Bill Lee ,Republican ,6897576,2019
 Texas ,TX,Greg Abbott ,Republican ,29472295,2019
 Utah ,UT,Gary Herbert ,Republican ,3282115,2019
 Vermont ,VT,Phil Scott ,Republican ,628061,2019
 Virginia ,VA,Ralph Northam ,Democratic ,8626207,2019
 Washington ,WA,Jay Inslee ,Democratic ,7797095,2019
 West Virginia ,WV,Jim Justice ,Republican,1778070,2019
 Wisconsin ,WI,Tony Evers ,Democratic ,5851754,2019
 Wyoming ,WY,Mark Gordon ,Republican ,567025,2019
